Identifier,Name,Height,Spread,Diameter,Maturity,Condition
00000798,Horse Chestnut,9,5,27,Middle aged,Fair
00000799,Horse Chestnut,9,6,28,Middle aged,Good
00000802,London plane,18,12,65,Mature,Good
00000803,London plane,14,10,45,Middle aged,Good
00000804,London plane,13,10,44,Middle aged,Good
00000809,"Cherry - Wild, Gean",9,8,36,Middle aged,Fair
00000810,Wier maple,21,12,56,Mature,Fair
00000811,Wier maple,18,8,30,Middle aged,Fair
00000812,Wier maple,20,18,52,Mature,Good
00000813,Wier maple,20,13,49,Mature,Good
00000814,Wier maple,20,7,36,Mature,Fair
00000815,Wier maple,20,9,47,Mature,Fair
00000817,Wier maple,23,15,66,Mature,Good
00000819,Wier maple,12,8,41,Middle aged,Good
00000820,Lime - Caucasian,12,5,28,Middle aged,Good
00000821,Lime - Caucasian,5,4,15,Middle aged,Fair
00000822,Lime - Common,20,9,50,Mature,Good
00000823,Lime - Common,21,9,55,Mature,Good
00000829,"Cherry - Wild, Gean",15,6,25,Middle aged,Fair
00000831,"Cherry - Wild, Gean",15,6,36,Mature,Good
00000832,"Cherry - Wild, Gean",12,6,23,Middle aged,Fair
00000834,"Cherry - Wild, Gean",13,6,28,Middle aged,Fair
00000835,"Cherry - Wild, Gean",12,7,21,Middle aged,Fair
00000836,"Cherry - Wild, Gean",13,6,29,Middle aged,Fair
00000838,"Cherry - Wild, Gean",11,7,26,Middle aged,Good
00000839,"Cherry - Wild, Gean",9,5,22,Middle aged,Fair
00000841,London plane,18,11,39,Middle aged,Fair
00000842,London plane,18,17,53,Mature,Good
00000843,Gum - Snow,22,14,71,Mature,Fair
00000845,Oak - Red,12,5,27,Middle aged,Fair
00000846,Oak - Red,9,3,16,Middle aged,Fair
00000847,Oak - Red,12,5,26,Middle aged,Fair
00000848,Oak - Red,13,7,29,Middle aged,Good
00000850,Oak - Red,13,7,40,Middle aged,Fair
00000854,False Acacia - Frisia,13,6,31,Middle aged,Fair
00000855,Hawthorn - Common,5,3,15,Middle aged,Good
00000858,Maple - Norway,10,9,34,Middle aged,Good
00000859,Maple - Norway,11,8,31,Middle aged,Fair
00000860,Maple - Norway,9,6,34,Middle aged,Fair
00000861,Maple - Norway,12,5,29,Middle aged,Fair
00000862,Maple - Norway,12,6,27,Middle aged,Fair
00000865,Maple - Norway,9,6,30,Middle aged,Fair
00000867,Maple - Norway,12,4,25,Middle aged,Fair
00000868,Maple - Norway,12,4,25,Middle aged,Fair
00000870,Maple - Norway,8,5,24,Middle aged,Fair
00000871,Maple - Norway,8,4,24,Middle aged,Fair
00000872,Maple - Norway,8,5,20,Middle aged,Fair
00000875,Hawthorn - Common,4,3,13,Middle aged,Good
00000876,Lime - Weeping silver,16.9,6,36,Mature,Good
00000877,"Oak - Evergreen, Holm",8,5,28,Middle aged,Good
00000878,Hawthorn - Common,6,3,15,Middle aged,Good
00000879,Oak - Red,11,6,35,Middle aged,Good
00000880,Oak - Red,11,5,24,Middle aged,Fair
00000881,Oak - Red,11,4,21,Middle aged,Good
00000882,Poplar - Silver,22,8,67,Mature,Fair
00000883,Poplar - Silver,22,8,63,Mature,Fair
00000884,Poplar - Silver,22,8,71,Mature,Good
00000885,"Cherry - Wild, Gean",8,4,18,Middle aged,Fair
00000887,"Cherry - Wild, Gean",8,4,10,Middle aged,Good
00000888,"Cherry - Wild, Gean",8,8,30,Mature,Good
00000889,Birch - Silver,14,4,27,Middle aged,Good
00000890,Birch - Silver,14,4,24,Mature,Good
00000891,London plane,17,15,61,Mature,Good
00000905,London plane,21,16,60,Mature,Good
00000906,Ash,17,13,57,Mature,Good
00000908,Lime - Common,16,9,56,Mature,Fair
00000914,"Cherry - Wild, Gean",9,8,40,Mature,Good
00000926,Sycamore,9,7,20,Middle aged,Good
